Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
0.0000000000,0,-54706.9492187500,-37815.8632812500,-50913.0000000000,-2540.7612304688,-79708.0781250000,-44234.9335937500,-73482.4218750000,-34618.1210937500,-102070.0390625000,-98842.1093750000,-64148.6445312500,-57662.3398437500,-79541.3281250000,-51603.3359375000,-65952.7265625000,-67508.7890625000,,,
0.0039062500,0,-54692.7500000000,-37802.2343750000,-50898.8125000000,-2529.2990722656,-79692.8515625000,-44229.7968750000,-73486.0859375000,-34610.7226562500,-102070.0390625000,-98833.6406250000,-64140.2148437500,-57652.3007812500,-79530.5000000000,-51589.9648437500,-65941.0703125000,-67497.4531250000,,,
0.0078125000,0,-54692.3125000000,-37805.3867187500,-50896.6015625000,-2527.1088867188,-79685.2343750000,-44227.1093750000,-73484.9687500000,-34605.1835937500,-102070.0390625000,-98827.1406250000,-64135.3320312500,-57645.9492187500,-79533.9453125000,-51583.1601562500,-65935.6328125000,-67497.8984375000,,,
0.0117187500,0,-54701.2695312500,-37817.3359375000,-50906.0664062500,-2533.0588378906,-79689.5937500000,-44230.5742187500,-73499.0078125000,-34607.6914062500,-102070.0390625000,-98827.9296875000,-64138.0820312500,-57648.3554687500,-79539.4921875000,-51584.2460937500,-65936.0468750000,-67504.1171875000,,,
0.0156250000,0,-54706.2070312500,-37823.4062500000,-50910.0195312500,-2538.2546386719,-79696.1250000000,-44235.6757812500,-73503.7812500000,-34615.7109375000,-102070.0390625000,-98833.8359375000,-64144.3984375000,-57653.3203125000,-79544.0703125000,-51592.2890625000,-65939.8984375000,-67508.2578125000,,,
0.0195312500,0,-54696.8007812500,-37816.7382812500,-50903.4882812500,-2535.8574218750,-79699.1796875000,-44237.0000000000,-73513.2109375000,-34617.5000000000,-102070.0390625000,-98837.0703125000,-64146.5898437500,-57652.4570312500,-79544.7109375000,-51597.6054687500,-65942.9218750000,-67505.8359375000,,,
0.0234375000,0,-54683.1640625000,-37804.2539062500,-50890.9531250000,-2521.5969238281,-79691.8281250000,-44224.9531250000,-73503.0625000000,-34605.5742187500,-102070.0390625000,-98829.1875000000,-64137.3906250000,-57639.6328125000,-79532.5078125000,-51589.5273437500,-65931.7265625000,-67492.8359375000,,,
0.0273437500,0,-54678.2226562500,-37798.5468750000,-50884.8593750000,-2514.2841796875,-79676.6093750000,-44208.0039062500,-73445.0468750000,-34588.6484375000,-102070.0390625000,-98812.6484375000,-64128.1562500000,-57628.8750000000,-79521.4218750000,-51579.9843750000,-65918.2812500000,-67478.9921875000,,,
0.0312500000,0,-54690.3671875000,-37808.0625000000,-50895.7734375000,-2522.8867187500,-79676.6093750000,-44203.1250000000,-73406.6406250000,-34582.3710937500,-102070.0390625000,-98811.3750000000,-64129.6757812500,-57629.8242187500,-79521.3593750000,-51582.1171875000,-65920.8671875000,-67485.2734375000,,,
0.0351562500,0,-54703.4570312500,-37818.9414062500,-50906.8085937500,-2529.6032714844,-79686.3828125000,-44209.0039062500,-73412.6640625000,-34586.6523437500,-102070.0390625000,-98818.9062500000,-64137.1484375000,-57637.5156250000,-79527.0468750000,-51591.1679687500,-65927.1484375000,-67491.1250000000,,,
0.0390625000,0,-54704.2851562500,-37813.6601562500,-50906.3828125000,-2531.2338867188,-79687.1015625000,-44209.0039062500,-73402.5703125000,-34585.1679687500,-102070.0390625000,-98824.8046875000,-64137.3789062500,-57639.8164062500,-79526.7031250000,-51594.5507812500,-65928.1484375000,-67486.1875000000,,,
0.0429687500,0,-54697.2890625000,-37808.9882812500,-50898.5351562500,-2528.4960937500,-79685.4687500000,-44206.9453125000,-73387.0078125000,-34577.6250000000,-102070.0390625000,-98822.7734375000,-64130.6718750000,-57638.7695312500,-79523.4687500000,-51589.1601562500,-65925.8125000000,-67478.9062500000,,,
0.0468750000,0,-54695.1718750000,-37808.0390625000,-50895.3710937500,-2528.0092773438,-79683.5312500000,-44200.9335937500,-73372.6718750000,-34570.5429687500,-102070.0390625000,-98812.8046875000,-64123.3125000000,-57634.4257812500,-79515.9687500000,-51581.1171875000,-65923.5000000000,-67474.1875000000,,,
0.0507812500,0,-54699.3710937500,-37815.8281250000,-50901.7812500000,-2532.9128417969,-79686.7812500000,-44198.9257812500,-73349.3437500000,-34568.1093750000,-102070.0390625000,-98809.4375000000,-64123.3593750000,-57638.6718750000,-79516.1406250000,-51580.5078125000,-65925.4687500000,-67477.2421875000,,,
0.0546875000,0,-54703.9921875000,-37819.1367187500,-50907.3203125000,-2540.7124023438,-79694.9921875000,-44206.7031250000,-73357.6718750000,-34575.4335937500,-102070.0390625000,-98819.0625000000,-64129.4570312500,-57651.1562500000,-79521.5468750000,-51591.7148437500,-65938.8281250000,-67483.8593750000,,,
0.0585937500,0,-54694.6601562500,-37806.6757812500,-50897.9023437500,-2532.5600585938,-79692.1562500000,-44206.0585937500,-73393.3046875000,-34573.6953125000,-102070.0390625000,-98819.0625000000,-64124.1015625000,-57645.3164062500,-79514.1015625000,-51588.0039062500,-65929.9140625000,-67471.8125000000,,,
0.0625000000,0,-54677.6875000000,-37784.7734375000,-50877.8125000000,-2515.9997558594,-79669.4531250000,-44194.1835937500,-73391.8593750000,-34562.7929687500,-102070.0390625000,-98808.7187500000,-64109.2695312500,-57631.1406250000,-79500.0234375000,-51575.7890625000,-65918.7500000000,-67460.9218750000,,,
0.0664062500,0,-54672.5039062500,-37779.2500000000,-50874.1757812500,-2512.7875976563,-79665.0156250000,-44194.6445312500,-73380.3984375000,-34562.2929687500,-102070.0390625000,-98804.4218750000,-64105.9375000000,-57627.9882812500,-79498.3906250000,-51574.9140625000,-65916.5625000000,-67464.5390625000,,,
0.0703125000,0,-54687.5312500000,-37795.0937500000,-50892.3671875000,-2526.5371093750,-79673.6015625000,-44203.6953125000,-73400.4843750000,-34573.7929687500,-102070.0390625000,-98810.7656250000,-64116.8515625000,-57638.4765625000,-79511.3515625000,-51586.3984375000,-65926.9140625000,-67482.2421875000,,,
0.0742187500,0,-54694.8554687500,-37801.4921875000,-50906.4687500000,-2534.3244628906,-79679.2734375000,-44213.9921875000,-73418.7734375000,-34586.8476562500,-102070.0390625000,-98819.8750000000,-64125.8554687500,-57646.5703125000,-79519.7187500000,-51597.6406250000,-65935.9218750000,-67493.7968750000,,,
0.0781250000,0,-54689.3437500000,-37796.3359375000,-50900.3242187500,-2535.9304199219,-79681.1718750000,-44219.0546875000,-73437.5156250000,-34593.9531250000,-102070.0390625000,-98827.3125000000,-64132.3398437500,-57649.4140625000,-79524.7343750000,-51604.1406250000,-65943.4531250000,-67497.9140625000,,,
0.0820312500,0,-54681.4335937500,-37788.0859375000,-50890.1406250000,-2529.5668945313,-79672.6953125000,-44215.6093750000,-73457.9062500000,-34592.9804687500,-102070.0390625000,-98827.8437500000,-64126.6210937500,-57641.1289062500,-79519.4843750000,-51594.2968750000,-65933.3906250000,-67489.8203125000,,,
